ENSG00000136750	ENSG00000119283
ENSG00000257767	ENSG00000111275
ENSG00000165458	ENSG00000207727
ENSG00000137221	ENSG00000204282
ENSG00000108262	ENSG00000133612
ENSG00000139625	ENSG00000204149
ENSG00000175309	ENSG00000220583
ENSG00000115355	ENSG00000139372
ENSG00000100226	ENSG00000116017
ENSG00000140382	ENSG00000111725
ENSG00000235423	ENSG00000163507
ENSG00000151353	ENSG00000253392
ENSG00000101605	ENSG00000197451
ENSG00000140564	ENSG00000146416
ENSG00000151929	ENSG00000100292
ENSG00000166432	ENSG00000148225
ENSG00000106692	ENSG00000182983
ENSG00000259288	ENSG00000189410
ENSG00000163257	ENSG00000100714
ENSG00000060138	ENSG00000168610
ENSG00000165392	ENSG00000152454
ENSG00000154096	ENSG00000147274
ENSG00000105711	ENSG00000141750
ENSG00000254943	ENSG00000163072
ENSG00000260274	ENSG00000101746
ENSG00000108518	ENSG00000168899
ENSG00000162241	ENSG00000188343
ENSG00000255835	ENSG00000188827
ENSG00000119711	ENSG00000134042
ENSG00000019582	ENSG00000204287
ENSG00000196182	ENSG00000128294
ENSG00000186818	ENSG00000165457
ENSG00000104112	ENSG00000131730
ENSG00000181852	ENSG00000166780
ENSG00000118640	ENSG00000125454
ENSG00000177311	ENSG00000036549
ENSG00000152767	ENSG00000231194
ENSG00000171817	ENSG00000079999
ENSG00000187695	ENSG00000114656
ENSG00000198822	ENSG00000136720
ENSG00000221995	ENSG00000127564
ENSG00000198838	ENSG00000118997
ENSG00000176095	ENSG00000102178
ENSG00000096063	ENSG00000112062
ENSG00000159788	ENSG00000130751
ENSG00000171823	ENSG00000138036
ENSG00000215252	ENSG00000229589
ENSG00000136830	ENSG00000175727
ENSG00000135094	ENSG00000265452
ENSG00000007392	ENSG00000137656
ENSG00000153956	ENSG00000110931
ENSG00000245532	ENSG00000037280
ENSG00000113758	ENSG00000196588
ENSG00000119125	ENSG00000156395
ENSG00000163565	ENSG00000133574
ENSG00000070614	ENSG00000101346
ENSG00000249700	ENSG00000128039
ENSG00000262880	ENSG00000146535
ENSG00000075618	ENSG00000204055
ENSG00000162889	ENSG00000166272
ENSG00000265636	ENSG00000248603
ENSG00000177853	ENSG00000129158
ENSG00000162522	ENSG00000042445
ENSG00000106571	ENSG00000080298
ENSG00000103404	ENSG00000150764
ENSG00000099622	ENSG00000231920
ENSG00000189367	ENSG00000165152
ENSG00000187514	ENSG00000130826
ENSG00000136750	ENSG00000170049
ENSG00000214530	ENSG00000100811
ENSG00000110104	ENSG00000255959
ENSG00000077420	ENSG00000010610
ENSG00000139289	ENSG00000257453
ENSG00000164976	ENSG00000101542
ENSG00000196123	ENSG00000166164
ENSG00000213780	ENSG00000238917
ENSG00000059588	ENSG00000183837
ENSG00000123096	ENSG00000255750
ENSG00000100227	ENSG00000174243
ENSG00000123240	ENSG00000118900
ENSG00000133612	ENSG00000105723
ENSG00000119927	ENSG00000241732
ENSG00000155755	ENSG00000102879
ENSG00000141858	ENSG00000102178
ENSG00000011405	ENSG00000123096
ENSG00000116017	ENSG00000125657
ENSG00000068078	ENSG00000125462
ENSG00000142347	ENSG00000023892
ENSG00000235878	ENSG00000160285
ENSG00000269814	ENSG00000143409
ENSG00000060709	ENSG00000162105
ENSG00000108861	ENSG00000108100
ENSG00000141756	ENSG00000196470
ENSG00000162367	ENSG00000226252
ENSG00000003147	ENSG00000059588
ENSG00000140675	ENSG00000231584
ENSG00000141150	ENSG00000196821
ENSG00000072062	ENSG00000262621
ENSG00000158710	ENSG00000197905
ENSG00000247077	ENSG00000157368
ENSG00000268279	ENSG00000154767
ENSG00000111554	ENSG00000238605
ENSG00000154096	ENSG00000240178
ENSG00000176058	ENSG00000107816
ENSG00000101187	ENSG00000100906
ENSG00000258890	ENSG00000187994
ENSG00000198556	ENSG00000263990
ENSG00000213694	ENSG00000187498
ENSG00000253882	ENSG00000170379
ENSG00000113649	ENSG00000102595
ENSG00000079999	ENSG00000186834
ENSG00000171604	ENSG00000197816
ENSG00000148572	ENSG00000146828
ENSG00000151726	ENSG00000196352
ENSG00000240510	ENSG00000178796
ENSG00000101608	ENSG00000105835
ENSG00000185189	ENSG00000165509
ENSG00000162511	ENSG00000130429
