from	to
9846	9873
10675	2318
55142	27238
55142	653086
1438	7020
1438	56165
1438	6868
284716	22920
81037	366
29114	2778
29114	10381
55757	22898
79656	339855
9201	22950
9201	154790
9201	80309
9201	26031
56478	57180
645899	200185
645899	23193
645899	90736
645899	646195
645899	83548
645899	3300
10745	163404
79720	4013
163404	23767
163404	222008
163404	441094
10194	64324
10194	54665
10194	29937
10194	83443
10194	9821
10194	284058
10194	23613
29924	10567
29924	78986
29924	84993
10134	6182
10134	1613
10134	9551
10134	51194
22803	80128
22803	23272
55168	11230
55168	23174
23386	80789
23386	161
23386	23092
23386	6709
8567	6804
3939	4647
659	83693
1958	8877
1958	2354
1958	4885
4973	10170
4973	5777
647673	57692
647673	731985
647673	9610
23199	283248
55768	9001
5832	22931
64760	79711
3394	3684
57574	29903
57574	58513
57574	6543
348938	114299
348938	64423
348938	56996
348938	10868
348938	56062
56647	643888
9873	51382
9873	10953
2318	9554
2318	1028
2318	3916
653086	94056
6868	5609
2778	22859
10381	7283
10381	162
10381	8406
22898	5719
154790	728229
154790	27065
57180	27429
646195	54870
83548	134
3300	23753
3300	399687
3300	90639
222008	28513
441094	23266
441094	51646
441094	9189
441094	54536
54665	51614
54665	80196
54665	57708
29937	10314
29937	51024
29937	8479
29937	84064
284058	9931
284058	731950
23613	8722
10567	51070
6182	3956
6182	2319
6182	4728
9551	342371
9551	54617
51194	10550
23174	23353
80789	23478
161	4857
161	2901
6804	27300
6804	146760
4885	55422
57692	3093
57692	642361
57692	55153
57692	55701
57692	5775
57692	9581
57692	2566
731985	6194
731985	653773
22931	5612
29903	85021
29903	54443
29903	126003
58513	9828
58513	23466
6543	84502
64423	9181
56996	24147
56062	51805
56062	23122
56062	6156
56062	27347
56062	9742
56062	23057
643888	79635
643888	83988
3916	575
3916	51507
22859	5362
22859	6714
22859	478
5719	7265
728229	203197
728229	51073
27065	55841
27065	147463
27065	79754
27065	90203
27065	650369
23753	3309
23753	51726
23753	79174
399687	5256
399687	7297
399687	26010
399687	132789
399687	81
399687	8668
90639	9946
90639	10206
90639	84440
90639	8562
28513	728499
28513	65078
28513	55858
28513	387036
28513	11042
28513	158471
28513	29904
80196	23332
57708	84932
57708	220213
10314	26052
84064	64768
51070	7284
342371	115098
10550	27086
23353	27125
23478	10137
23478	647673
23478	55131
23478	22919
23478	10981
23478	11234
23478	2124
23478	114908
146760	84280
3093	56478
3093	4066
3093	6790
3093	8649
3093	1737
3093	29081
642361	9444
642361	10055
5775	783
2566	151473
2566	4134
6194	261734
6194	10051
6194	645688
6194	6222
5612	659
54443	3920
54443	121601
126003	726
84502	1509
9181	84440
24147	10166
23122	547
23122	64645
23122	360023
23122	51000
23122	6596
23122	22875
23122	9039
23122	51447
23122	54521
23122	8669
23122	51510
23122	51566
6156	6170
6156	6143
6156	118881
6156	84191
6156	7423
6156	2091
6156	3590
6156	79005
27347	11059
27347	10971
83988	81873
5362	29123
5362	10523
5362	6399
203197	9415
203197	398
55841	155038
79754	55259
79754	64781
650369	5782
650369	548596
650369	29107
650369	22856
650369	219988
3309	811
3309	347733
51726	7184
5256	6311
7297	79932
7297	26156
7297	25960
7297	79654
26010	11212
26010	154807
81	257415
81	55558
81	9735
9946	91746
65078	389119
65078	11189
65078	7050
55858	9242
55858	8535
55858	2065
387036	93587
387036	57171
387036	55677
387036	83596
387036	25978
11042	1660
11042	387036
158471	90362
220213	5588
64768	10389
64768	54780
64768	7587
7284	2665
22919	3032
10981	51284
114908	1857
84280	9240
8649	152559
29081	5716
783	9575
783	79152
4134	28969
4134	84926
4134	55799
4134	10653
4134	84553
4134	27069
4134	1571
4134	26050
4134	23513
4134	644615
4134	2554
1509	644739
1509	51258
64645	23368
64645	51162
51000	25963
51000	57648
9039	6729
9039	21
9039	129401
54521	8846
54521	23243
51510	10949
51510	54886
51510	10094
6170	6154
6170	346950
6170	2197
6143	731985
6143	8520
84191	129401
2091	51035
10971	9575
29123	653103
29123	10743
29123	201164
29123	84206
6399	9825
9415	54978
