alias_previous_symbol	index
KIAA0821	492
CIRL1	492
LEC2	492
LPHH1	493
LPHN2	493
KIAA0786	493
LEC1	493
LPHN3	494
KIAA0768	494
LEC3	494
LPHN3-AS1	495
ELTD1	496
ETL	496
USH2C	497
MASS1	497
GPR98	497
DKFZp761P0710	497
KIAA0686	497
FEB4	497
VLGR1	497
ADH1	498
ADH2	499
ADH3	500
ADH-2	501
FDH	502
ADH-3	502
ADHX	502
GSNOR	502
ADH5B	505
bA707M13.2	505
ADH-5	507
ADH-4	508
FLJ32430	509
SIPL	510
MTCBP-1	510
ARD	510
APL1	510
FLJ10913	510
HMFT1638	510
mtnD	510
MGC39724	514
SMAF1	514
RP5-1100H13.2	514
ACDC	515
ACRP30	515
apM1	515
GBP28	515
adiponectin	515
PAQR1	517
ACDCR1	517
PAQR2	520
ACDCR2	520
C10orf116	521
APM2	521
AFRO	521
AK	523
AM	524
AM2	525
FLJ21135	525
C19orf76	526
AM5	526
KIAA0784	527
ADNP1	527
ZNF508	529
KIAA0863	529
C10orf22	530
FLJ14547	530
RDC7	531
ADORA2	532
RDC8	532
C22orf45	533
FLJ34651	533
ADORA2BP	535
AD026	536
DKFZp434B195	537
ADP-GK	537
ARH1	539
ARH2	540
C17orf48	541
MDS006	541
ADPRHL2	542
ARH3	542
FLJ20446	542
ADRA1C	543
ADRA1L1	543
ADRA1R	545
ADRA1A	545
ADRA1	545
ADRA2	546
ADRA2R	546
ADRAR	546
ADRA2L1	547
ADRA2RL1	547
ADRARL1	547
ADRA2L2	548
ADRA2RL2	548
ADRARL2	548
ADRB1R	549
ADRB2R	550
ADRBR	550
BAR	550
B2AR	550
GP110	552
Rpn13	552
ARM1	552
ADSSL1	554
FLJ38602	554
ADSS	555
C6orf105	556
dJ413H6.1	556
AIG1L	556
ACLP	557
MGC17922	558
ISG20L1	559
FLJ12484	559
FLJ12562	559
AFAP-110	560
AFAP	560
AFAP1AS	561
AFAP1-AS	561
MGC10981	561
FLJ36748	562
KIAA1914	563
FLJ14564	563
Em:AC005383.4	563
XB130	563
MLLT4	564
AF-6	564
AF6	564
C6orf124	565
MLLT4-AS1	565
AFDN-AS1	565
HGC6.4	565
dJ431P23.3	565
PBM1	566
MLLT2	566
AF-4	566
AF4	566
FMR2	568
FRAXE	568
LAF4	570
MLLT2-like	570
AF5Q31	571
MCEF	571
LACE1	572
AFG1	572
AFG3	573
AFG3L1	573
SCA28	574
SPAX5	574
AFG3L2P	575
ALB2	576
ALBA	576
DKFZp686F03259	577
KF	577
HPAFP	578
FETA	578
MGC33965	579
FLJ20080	579
FLJ23793	579
Nbla10388	579
ASRG	580
CENTG2	581
KIAA1099	581
GGAP1	581
CENTG1	583
LOC100130776	584
PUNISHER	584
CENTG3	585
CTGLF1	586
AGAP8	586
CTGLF5	586
Em:AC012044.1	586
MRIP2	586
CTGLF2	587
Em:AC073389.1	587
CTGLF3	588
bA324H6.1	588
CTGLF4	589
AGAP7	589
bA109G10.1	589
CTGLF6	590
bA301J7.2	590
FLJ00312	590
AGAP10	591
CTGLF7	591
CTGLF10P	591
bA358L16.1	591
bA144G6.2	591
KIAA1975	592
CTGLF12P	593
bA164N7.2	593
CTGLF9P	594
bA548K23.1	594
CTGLF11P	595
AGAP14	595
bA145E20.1	595
FLJ32310	596
CCP4	596
FLJ23598	598
CCP2	598
MGC32955	599
CCP3	599
FLJ14442	600
CCP6	600
FLJ21839	603
CCP5	603
RAGE	606
SCARJ1	606
HRB	607
RIP	607
RAB	607
HRBL	608
RABR	608
VG5Q	609
HSU84971	609
FLJ10283	609
GPATC7	609
GPATCH7	609
MULK	620
FLJ10842	620
AGKY1	621
FLJ23384	624
TMEM195	625
FLJ16237	625
EIF2C1	626
hAGO1	626
EIF2C2	627
CASC7	627
hAGO2	627
Q10	627
LINC00980	627
EIF2C3	628
hAGO3	628
FLJ12765	628
EIF2C4	629
hAGO4	629
KIAA1567	629
FLJ20033	629
LPAAT-alpha	630
BSCL	631
LPAAT-beta	631
LPAAT-gamma	632
LPAAT3	632
LPAAT-delta	633
dJ473J16.2	633
C6orf59	634
NCRNA00241	634
FLJ23112	634
FLJ11210	635
LPAAT-e	635
LPAAT-epsilon	635
ADHAPS	637
ADAS	637
ALDHPSY	637
ADPS	637
ADAP-S	637
XAG-2	638
HAG-2	638
AG2	638
PDIA17	638
HAG3	639
hAG-3	639
BCMP11	639
PDIA18	639
AGRIN	640
Agrt	641
ART	641
ASIP2	641
SERPINA8	642
KIAA1035	643
Nna1	643
CCP1	643
AGTR1B	644
AT1	644
AT2R1	644
AGTR1A	644
AT2R1A	644
HAT1R	644
AG2S	644
AT2R1B	644
AT1B	644
AT2	645
MRX88	645
ATRAP	646
SPAT	647
AGXT1	647
PH1	647
AGT	647
SPT	647
AGT1	647
AGT2	648
ELYS	649
AHCTF1P	650
ELYS-like	650
SAHH	651
XPVKONA	652
IRBIT	652
PPP1R78	652
KIAA0828	653
long-IRBIT	653
IRBIT2	653
DJ159A19.3	662
RP1-159A19.1	662
FLJ20069	663
ORF1	663
JBTS3	663
MGC5395	664
C14orf78	665
bHLHe76	666
AHH	667
AHHR	667
KIAA1234	667
bHLHe77	667
C14orf3	668
p38	668
Aha1	668
hAha1	668
AHSA2	669
DKFZp564C236	669
Hch1	669
AHA1	669
FETUA	670
A2HS	670
HSGA	670
ERAF	671
EDRF	671
HIGM2	672
CDA2	672
ARP2	672
AID	672
C1orf80	673
FLJ12806	673
IRT-1	677
AIF-1	677
Em:AF129756.17	677
IBA1	677
C9orf58	678
IBA2	678
FLJ12783	678
PDCD8	679
NAMSD	679
AUNX1	679
AIF	679
CMTX4	679
DFNX5	679
AMID	681
FLJ14497	681
PRG3	681
AIFL	682
FLJ30473	682
dJ95L4.1	683
AIG-1	683
FLJ10485	683
PYHIN4	685
SCYE1	686
EMAPII	686
EMAP-2	686
p43	686
SCYE1P	687
bA400P21.1	687
p38	689
PRO0992	689
JTV-1	689
JTV1	689
XAP2	690
ARA9	690
FKBP16	690
FKBP37	690
LCA4	691
APECED	692
PGA1	692
APS1	692
AIR	693
NCRNA00088	693
IGF2RAS	693
IGF2R-AS1	693
SHREW1	694
SHREW-1	694
MOT8	694
C9orf172	695
ajm-1	695
JUB	696
MGC15563	696
AK2B	699
AK6	701
AK3L1	701
AKL3L1	701
HsT26053	702
AK3	707
AK3L1	707
AK3P1	708
AK3L2	710
AK3L2P	710
CINAP	715
FLJ32864	718
FAP75	718
CFAP75	718
C9orf98	719
FLJ32704	719
C6orf224	720
AKD2	720
C6orf199	720
AKD1	720
FLJ42177	720
FLJ25791	720
dJ70A9.1	720
MGC26954	720
C18orf42	721
PRKA1	722
AKAP121	722
AKAP149	722
SAKAP84	722
S-AKAP84	722
AKAP84	722
D-AKAP1	722
PPP1R43	722
TDRD17	722
PRKA2	723
AKAP-KL	723
KIAA0920	723
DKFZp564L0716	723
MISP2	723
FSP95	724
SOB1	724
AKAP110	724
